,Week,Interest,Country,Crypto
10125,2023-12-31,2,Singapore,Dogecoin
10126,2024-01-07,1,Singapore,Dogecoin
10127,2024-01-14,1,Singapore,Dogecoin
10128,2024-01-21,2,Singapore,Dogecoin
10129,2024-01-28,2,Singapore,Dogecoin
10130,2024-02-04,1,Singapore,Dogecoin
10131,2024-02-11,1,Singapore,Dogecoin
10132,2024-02-18,1,Singapore,Dogecoin
10133,2024-02-25,4,Singapore,Dogecoin
10134,2024-03-03,7,Singapore,Dogecoin
10135,2024-03-10,5,Singapore,Dogecoin
10136,2024-03-17,4,Singapore,Dogecoin
10137,2024-03-24,5,Singapore,Dogecoin
10138,2024-03-31,3,Singapore,Dogecoin
10139,2024-04-07,3,Singapore,Dogecoin
10140,2024-04-14,2,Singapore,Dogecoin
10141,2024-04-21,2,Singapore,Dogecoin
10142,2024-04-28,2,Singapore,Dogecoin
10143,2024-05-05,2,Singapore,Dogecoin
10144,2024-05-12,2,Singapore,Dogecoin
10145,2024-05-19,5,Singapore,Dogecoin
10146,2024-05-26,3,Singapore,Dogecoin
10147,2024-06-02,2,Singapore,Dogecoin
10148,2024-06-09,2,Singapore,Dogecoin
10149,2024-06-16,1,Singapore,Dogecoin
10150,2024-06-23,1,Singapore,Dogecoin
10151,2024-06-30,1,Singapore,Dogecoin
10152,2024-07-07,1,Singapore,Dogecoin
10153,2024-07-14,2,Singapore,Dogecoin
10154,2024-07-21,1,Singapore,Dogecoin
10155,2024-07-28,1,Singapore,Dogecoin
10156,2024-08-04,1,Singapore,Dogecoin
10157,2024-08-11,1,Singapore,Dogecoin
10158,2024-08-18,1,Singapore,Dogecoin
10159,2024-08-25,1,Singapore,Dogecoin
10160,2024-09-01,1,Singapore,Dogecoin
10161,2024-09-08,1,Singapore,Dogecoin
10162,2024-09-15,1,Singapore,Dogecoin
10163,2024-09-22,1,Singapore,Dogecoin
10164,2024-09-29,1,Singapore,Dogecoin
10165,2024-10-06,1,Singapore,Dogecoin
10166,2024-10-13,2,Singapore,Dogecoin
10167,2024-10-20,2,Singapore,Dogecoin
10168,2024-10-27,2,Singapore,Dogecoin
10169,2024-11-03,7,Singapore,Dogecoin
10170,2024-11-10,34,Singapore,Dogecoin
10171,2024-11-17,15,Singapore,Dogecoin
10172,2024-11-24,11,Singapore,Dogecoin
10173,2024-12-01,12,Singapore,Dogecoin
10174,2024-12-08,11,Singapore,Dogecoin
10175,2024-12-15,8,Singapore,Dogecoin
10176,2024-12-22,6,Singapore,Dogecoin
10177,2024-12-29,5,Singapore,Dogecoin
10178,2025-01-05,4,Singapore,Dogecoin
10179,2025-01-12,5,Singapore,Dogecoin
10180,2025-01-19,9,Singapore,Dogecoin
10181,2025-01-26,6,Singapore,Dogecoin
10182,2025-02-02,7,Singapore,Dogecoin
10183,2025-02-09,9,Singapore,Dogecoin
10184,2025-02-16,7,Singapore,Dogecoin
10185,2025-02-23,6,Singapore,Dogecoin
10186,2025-03-02,4,Singapore,Dogecoin
10187,2025-03-09,4,Singapore,Dogecoin
10188,2025-03-16,2,Singapore,Dogecoin
10189,2025-03-23,2,Singapore,Dogecoin
10190,2025-03-30,2,Singapore,Dogecoin
10191,2025-04-06,2,Singapore,Dogecoin
10192,2025-04-13,1,Singapore,Dogecoin
10193,2025-04-20,1,Singapore,Dogecoin
10194,2025-04-27,1,Singapore,Dogecoin
10195,2025-05-04,1,Singapore,Dogecoin
10196,2025-05-11,2,Singapore,Dogecoin
10197,2025-05-18,2,Singapore,Dogecoin
10198,2025-05-25,1,Singapore,Dogecoin
10199,2025-06-01,1,Singapore,Dogecoin
10200,2025-06-08,1,Singapore,Dogecoin
10201,2025-06-15,1,Singapore,Dogecoin
10202,2025-06-22,1,Singapore,Dogecoin
10203,2025-06-29,1,Singapore,Dogecoin
10204,2025-07-06,1,Singapore,Dogecoin
10205,2025-07-13,3,Singapore,Dogecoin
10206,2025-07-20,3,Singapore,Dogecoin
10207,2025-07-27,2,Singapore,Dogecoin
10208,2025-08-03,2,Singapore,Dogecoin
10209,2025-08-10,2,Singapore,Dogecoin
10210,2025-08-17,2,Singapore,Dogecoin
10211,2025-08-24,2,Singapore,Dogecoin
10212,2025-08-31,1,Singapore,Dogecoin
10213,2025-09-07,3,Singapore,Dogecoin
10214,2025-09-14,3,Singapore,Dogecoin
10215,2025-09-21,2,Singapore,Dogecoin
10216,2025-09-28,2,Singapore,Dogecoin
10217,2025-10-05,2,Singapore,Dogecoin
10218,2020-10-04,<1,USA,Dogecoin
10219,2020-10-11,<1,USA,Dogecoin
10220,2020-10-18,<1,USA,Dogecoin
10221,2020-10-25,<1,USA,Dogecoin
10222,2020-11-01,<1,USA,Dogecoin
10223,2020-11-08,<1,USA,Dogecoin
10224,2020-11-15,<1,USA,Dogecoin
10225,2020-11-22,1,USA,Dogecoin
10226,2020-11-29,<1,USA,Dogecoin
10227,2020-12-06,<1,USA,Dogecoin
10228,2020-12-13,1,USA,Dogecoin
10229,2020-12-20,2,USA,Dogecoin
10230,2020-12-27,4,USA,Dogecoin
10231,2021-01-03,8,USA,Dogecoin
10232,2021-01-10,4,USA,Dogecoin
10233,2021-01-17,2,USA,Dogecoin
10234,2021-01-24,77,USA,Dogecoin
10235,2021-01-31,47,USA,Dogecoin
10236,2021-02-07,55,USA,Dogecoin
10237,2021-02-14,20,USA,Dogecoin
10238,2021-02-21,11,USA,Dogecoin
10239,2021-02-28,9,USA,Dogecoin
10240,2021-03-07,10,USA,Dogecoin
10241,2021-03-14,7,USA,Dogecoin
10242,2021-03-21,5,USA,Dogecoin
10243,2021-03-28,5,USA,Dogecoin
10244,2021-04-04,6,USA,Dogecoin
10245,2021-04-11,91,USA,Dogecoin
10246,2021-04-18,80,USA,Dogecoin
10247,2021-04-25,33,USA,Dogecoin
10248,2021-05-02,100,USA,Dogecoin
10249,2021-05-09,95,USA,Dogecoin
10250,2021-05-16,43,USA,Dogecoin
10251,2021-05-23,25,USA,Dogecoin
10252,2021-05-30,22,USA,Dogecoin
10253,2021-06-06,14,USA,Dogecoin
10254,2021-06-13,11,USA,Dogecoin
10255,2021-06-20,19,USA,Dogecoin
10256,2021-06-27,11,USA,Dogecoin
10257,2021-07-04,10,USA,Dogecoin
10258,2021-07-11,8,USA,Dogecoin
10259,2021-07-18,8,USA,Dogecoin
10260,2021-07-25,7,USA,Dogecoin
10261,2021-08-01,6,USA,Dogecoin
10262,2021-08-08,8,USA,Dogecoin
10263,2021-08-15,10,USA,Dogecoin
10264,2021-08-22,6,USA,Dogecoin
10265,2021-08-29,5,USA,Dogecoin
10266,2021-09-05,6,USA,Dogecoin
10267,2021-09-12,4,USA,Dogecoin
10268,2021-09-19,5,USA,Dogecoin
10269,2021-09-26,4,USA,Dogecoin
10270,2021-10-03,6,USA,Dogecoin
10271,2021-10-10,5,USA,Dogecoin
10272,2021-10-17,5,USA,Dogecoin
10273,2021-10-24,10,USA,Dogecoin
10274,2021-10-31,7,USA,Dogecoin
10275,2021-11-07,6,USA,Dogecoin
10276,2021-11-14,4,USA,Dogecoin
10277,2021-11-21,4,USA,Dogecoin
10278,2021-11-28,4,USA,Dogecoin
10279,2021-12-05,4,USA,Dogecoin
10280,2021-12-12,6,USA,Dogecoin
10281,2021-12-19,4,USA,Dogecoin
10282,2021-12-26,4,USA,Dogecoin
10283,2022-01-02,4,USA,Dogecoin
10284,2022-01-09,6,USA,Dogecoin
10285,2022-01-16,5,USA,Dogecoin
10286,2022-01-23,5,USA,Dogecoin
10287,2022-01-30,3,USA,Dogecoin
10288,2022-02-06,4,USA,Dogecoin
10289,2022-02-13,3,USA,Dogecoin
10290,2022-02-20,3,USA,Dogecoin
10291,2022-02-27,3,USA,Dogecoin
10292,2022-03-06,3,USA,Dogecoin
10293,2022-03-13,3,USA,Dogecoin
10294,2022-03-20,3,USA,Dogecoin
10295,2022-03-27,3,USA,Dogecoin
10296,2022-04-03,4,USA,Dogecoin
10297,2022-04-10,3,USA,Dogecoin
10298,2022-04-17,3,USA,Dogecoin
10299,2022-04-24,4,USA,Dogecoin
10300,2022-05-01,3,USA,Dogecoin
10301,2022-05-08,5,USA,Dogecoin
10302,2022-05-15,3,USA,Dogecoin
10303,2022-05-22,3,USA,Dogecoin
10304,2022-05-29,2,USA,Dogecoin
10305,2022-06-05,2,USA,Dogecoin
10306,2022-06-12,4,USA,Dogecoin
10307,2022-06-19,3,USA,Dogecoin
10308,2022-06-26,2,USA,Dogecoin
10309,2022-07-03,2,USA,Dogecoin
10310,2022-07-10,2,USA,Dogecoin
10311,2022-07-17,2,USA,Dogecoin
10312,2022-07-24,2,USA,Dogecoin
10313,2022-07-31,1,USA,Dogecoin
10314,2022-08-07,2,USA,Dogecoin
10315,2022-08-14,2,USA,Dogecoin
10316,2022-08-21,2,USA,Dogecoin
10317,2022-08-28,1,USA,Dogecoin
10318,2022-09-04,1,USA,Dogecoin
10319,2022-09-11,2,USA,Dogecoin
10320,2022-09-18,2,USA,Dogecoin
10321,2022-09-25,1,USA,Dogecoin
10322,2022-10-02,1,USA,Dogecoin
10323,2022-10-09,1,USA,Dogecoin
10324,2022-10-16,1,USA,Dogecoin
10325,2022-10-23,4,USA,Dogecoin
10326,2022-10-30,6,USA,Dogecoin
10327,2022-11-06,4,USA,Dogecoin
10328,2022-11-13,3,USA,Dogecoin
10329,2022-11-20,3,USA,Dogecoin
10330,2022-11-27,3,USA,Dogecoin
10331,2022-12-04,2,USA,Dogecoin
10332,2022-12-11,2,USA,Dogecoin
10333,2022-12-18,2,USA,Dogecoin
10334,2022-12-25,2,USA,Dogecoin
10335,2023-01-01,2,USA,Dogecoin
10336,2023-01-08,2,USA,Dogecoin
10337,2023-01-15,2,USA,Dogecoin
10338,2023-01-22,2,USA,Dogecoin
10339,2023-01-29,2,USA,Dogecoin
10340,2023-02-05,2,USA,Dogecoin
10341,2023-02-12,2,USA,Dogecoin
10342,2023-02-19,1,USA,Dogecoin
10343,2023-02-26,1,USA,Dogecoin
10344,2023-03-05,1,USA,Dogecoin
10345,2023-03-12,2,USA,Dogecoin
10346,2023-03-19,2,USA,Dogecoin
10347,2023-03-26,2,USA,Dogecoin
10348,2023-04-02,7,USA,Dogecoin
10349,2023-04-09,2,USA,Dogecoin
10350,2023-04-16,2,USA,Dogecoin
10351,2023-04-23,2,USA,Dogecoin
10352,2023-04-30,2,USA,Dogecoin
10353,2023-05-07,1,USA,Dogecoin
10354,2023-05-14,2,USA,Dogecoin
10355,2023-05-21,1,USA,Dogecoin
10356,2023-05-28,1,USA,Dogecoin
10357,2023-06-04,1,USA,Dogecoin
10358,2023-06-11,1,USA,Dogecoin
10359,2023-06-18,1,USA,Dogecoin
10360,2023-06-25,1,USA,Dogecoin
10361,2023-07-02,1,USA,Dogecoin
10362,2023-07-09,1,USA,Dogecoin
10363,2023-07-16,1,USA,Dogecoin
10364,2023-07-23,2,USA,Dogecoin
10365,2023-07-30,1,USA,Dogecoin
10366,2023-08-06,1,USA,Dogecoin
10367,2023-08-13,1,USA,Dogecoin
10368,2023-08-20,1,USA,Dogecoin
10369,2023-08-27,1,USA,Dogecoin
10370,2023-09-03,1,USA,Dogecoin
10371,2023-09-10,1,USA,Dogecoin
10372,2023-09-17,1,USA,Dogecoin
10373,2023-09-24,1,USA,Dogecoin
10374,2023-10-01,1,USA,Dogecoin
10375,2023-10-08,1,USA,Dogecoin
10376,2023-10-15,1,USA,Dogecoin
10377,2023-10-22,2,USA,Dogecoin
10378,2023-10-29,1,USA,Dogecoin
10379,2023-11-05,2,USA,Dogecoin
10380,2023-11-12,1,USA,Dogecoin
10381,2023-11-19,1,USA,Dogecoin
10382,2023-11-26,1,USA,Dogecoin
10383,2023-12-03,3,USA,Dogecoin
10384,2023-12-10,2,USA,Dogecoin
10385,2023-12-17,2,USA,Dogecoin
10386,2023-12-24,1,USA,Dogecoin
10387,2023-12-31,1,USA,Dogecoin
10388,2024-01-07,1,USA,Dogecoin
10389,2024-01-14,1,USA,Dogecoin
10390,2024-01-21,1,USA,Dogecoin
10391,2024-01-28,1,USA,Dogecoin
10392,2024-02-04,1,USA,Dogecoin
10393,2024-02-11,1,USA,Dogecoin
10394,2024-02-18,1,USA,Dogecoin
10395,2024-02-25,4,USA,Dogecoin
10396,2024-03-03,7,USA,Dogecoin
10397,2024-03-10,4,USA,Dogecoin
10398,2024-03-17,3,USA,Dogecoin
10399,2024-03-24,4,USA,Dogecoin
10400,2024-03-31,3,USA,Dogecoin
10401,2024-04-07,3,USA,Dogecoin
10402,2024-04-14,2,USA,Dogecoin
10403,2024-04-21,2,USA,Dogecoin
10404,2024-04-28,2,USA,Dogecoin
