Price,Open,High,Low,Close,Volume
Ticker,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD
Date,,,,,
31/01/2022,0.139468998,0.154774994,0.135564998,0.15377,3613195200
07/02/2022,0.153803006,0.171586007,0.141678005,0.148947999,7774271658
14/02/2022,0.148868993,0.152199,0.135851994,0.136868,4509713569
21/02/2022,0.136838004,0.141344994,0.109554999,0.123111002,6193236397
28/02/2022,0.123117998,0.137730002,0.120384,0.120765999,4255305752
07/03/2022,0.120769002,0.123733997,0.110685997,0.111607999,3034662440
14/03/2022,0.111607,0.124573,0.110817,0.119153999,3639772625
21/03/2022,0.119145997,0.144858003,0.118306004,0.144731998,7004751117
28/03/2022,0.144724995,0.152737007,0.133209005,0.146452993,6984729691
04/04/2022,0.146412998,0.178045005,0.141312003,0.149535,16773264546
11/04/2022,0.149373993,0.151291996,0.133818001,0.139458999,7740425060
18/04/2022,0.139470994,0.146240994,0.131502002,0.131946996,4689933766
25/04/2022,0.131935999,0.167734995,0.123869002,0.132772997,16041062718
02/05/2022,0.132793993,0.137312993,0.123974003,0.124206997,5735228733
09/05/2022,0.124200001,0.125136003,0.070037,0.092843004,11262196334
16/05/2022,0.092867002,0.093061,0.082087003,0.086104997,3568210074
23/05/2022,0.086084001,0.08811,0.076064996,0.082686,4342086261
30/05/2022,0.082684003,0.088647,0.079727001,0.081229001,3664693765
06/06/2022,0.081225,0.084559001,0.063860998,0.064336002,3252931988
13/06/2022,0.064274997,0.065701999,0.04972,0.060396001,6423307627
20/06/2022,0.060399,0.076966003,0.057707001,0.073177002,4449798041
27/06/2022,0.073154002,0.078388996,0.062746003,0.067179002,3762430336
04/07/2022,0.067174003,0.073008999,0.065696999,0.067263,2582772058
11/07/2022,0.067267999,0.067267999,0.058398001,0.063106999,2322883062
18/07/2022,0.063114002,0.076573998,0.063114002,0.067723997,3905336835
25/07/2022,0.067716002,0.073909998,0.060424998,0.068272002,3993901497
01/08/2022,0.068265997,0.070998996,0.065516002,0.068939999,2143065956
08/08/2022,0.068945996,0.084013,0.067388996,0.081687003,4302693128
